ID,Name,Parameter,Language,Frequency,Confidence,References
dhr,No dominant order,"Order of Subject, Object and Verb",Dhargari,,,Klokeid 1969
dhb,SOV,"Order of Subject, Object and Verb",Dharumbal,,,Terrill 2002
dhm,SOV,"Order of Subject, Object and Verb",Dhimal,,,Cooper 1999
did,VSO,"Order of Subject, Object and Verb",Didinga,,,Tucker and Bryan 1966
die,SOV,"Order of Subject, Object and Verb",Diegueño (Mesa Grande),,,Gorbet 1976;Langdon 1970
dig,SOV,"Order of Subject, Object and Verb",Digaro,,,Sastry 1984
dim,SOV,"Order of Subject, Object and Verb",Dime,,,Fleming 1990
din,No dominant order,"Order of Subject, Object and Verb",Dinka,,,Andersen 1991;Nebel 1948;Tucker and Bryan 1966
dio,SVO,"Order of Subject, Object and Verb",Diola-Fogny,,,Sapir 1965
diy,SOV,"Order of Subject, Object and Verb",Diyari,,,Austin 1981
dja,SOV,"Order of Subject, Object and Verb",Djabugay,,,Patz 1991
djm,No dominant order,"Order of Subject, Object and Verb",Djambarrpuyngu,,,Wilkinson 1991
djp,SOV,"Order of Subject, Object and Verb",Djapu,,,Morphy 1983
djr,No dominant order,"Order of Subject, Object and Verb",Djaru,,,Tsunoda 1981
djn,No dominant order,"Order of Subject, Object and Verb",Djinang,,,Waters 1989
dji,SOV,"Order of Subject, Object and Verb",Djingili,,,Chadwick 1975
der,SOV,"Order of Subject, Object and Verb",Dla (Proper),,,Voorhoeve 1971
dok,SVO,"Order of Subject, Object and Verb",Doko,,,Twilingiyimana 1984
dom,No dominant order,"Order of Subject, Object and Verb",Domari,,,Macalister 1914
dgo,No dominant order,"Order of Subject, Object and Verb",Dongo,,,Tucker and Bryan 1966
don,SVO,"Order of Subject, Object and Verb",Dong (Southern),,,Long and Zheng 1998
dds,SOV,"Order of Subject, Object and Verb",Donno So,,,Kervran and Prost 1969
doy,SVO,"Order of Subject, Object and Verb",Doyayo,,,Wiering and Wiering 1994
dre,No dominant order,"Order of Subject, Object and Verb",Drehu,,,Tryon 1967a;Moyse-Faurie 1983
dua,SVO,"Order of Subject, Object and Verb",Duala,,,Ittmann 1978
duk,SVO,"Order of Subject, Object and Verb",Duka,,,Bendor-Samuel et al. 1973
dma,SVO,"Order of Subject, Object and Verb",Duma,,,Adam 1954
dum,SOV,"Order of Subject, Object and Verb",Dumo,,,Ross 1980
dun,SOV,"Order of Subject, Object and Verb",Duna,,,Voorhoeve 1975
dut,No dominant order,"Order of Subject, Object and Verb",Dutch,,,Shetter 1958
dyi,No dominant order,"Order of Subject, Object and Verb",Dyirbal,,,Dixon 1972
ebi,SVO,"Order of Subject, Object and Verb",Ebira,,,Adive 1989
edo,SOV,"Order of Subject, Object and Verb",Edolo,,,Gossner 1994
erk,SVO,"Order of Subject, Object and Verb",Efate (South),,,Thieberger 2004
ega,SVO,"Order of Subject, Object and Verb",Ega,,,Richard 1983
eip,SOV,"Order of Subject, Object and Verb",Eipo,,,Heeschen 1998
eka,SOV,"Order of Subject, Object and Verb",Ekari,,,Boelaars 1950
eko,SVO,"Order of Subject, Object and Verb",Ekoti,,,Schadeberg and Mucanheia 2000
ora,SVO,"Order of Subject, Object and Verb",Emai,,,Schaefer and Egbokhare 2007
eme,SOV,"Order of Subject, Object and Verb",Émérillon,,,Rose 2003b
emm,No dominant order,"Order of Subject, Object and Verb",Emmi,,,Ford 1998
ene,SOV,"Order of Subject, Object and Verb",Enets,,,Künnap 1999a
egn,SVO,"Order of Subject, Object and Verb",Engenni,,,Thomas 1978
eno,SVO,"Order of Subject, Object and Verb",Enggano,,,Kähler 1940
eng,SVO,"Order of Subject, Object and Verb",English,,,
epe,SOV,"Order of Subject, Object and Verb",Epena Pedee,,,Harms 1994
err,SVO,"Order of Subject, Object and Verb",Erromangan,,,Crowley 1998a
ese,SOV,"Order of Subject, Object and Verb",Ese Ejja,,,Shoemaker and Shoemaker 1967
est,SVO,"Order of Subject, Object and Verb",Estonian,,,Tauli 1983;de Sivers 1969
eud,SOV,"Order of Subject, Object and Verb",Eudeve,,,Shaul 1991
evn,SOV,"Order of Subject, Object and Verb",Even,,,Benzing 1955
eve,SOV,"Order of Subject, Object and Verb",Evenki,,,Nedjalkov 1997;Konstantinova 1968
ewe,SVO,"Order of Subject, Object and Verb",Ewe,,,Ameka 1991;Warburton et al. 1968
ewo,SVO,"Order of Subject, Object and Verb",Ewondo,,,Redden 1979
fij,No dominant order,"Order of Subject, Object and Verb",Fijian,,,Dixon 1988
fin,SVO,"Order of Subject, Object and Verb",Finnish,,,Whitney 1973;Sulkala and Karjalainen 1992
foe,SOV,"Order of Subject, Object and Verb",Foe,,,Rule 1977
pdp,SOV,"Order of Subject, Object and Verb",Folopa,,,
fon,SVO,"Order of Subject, Object and Verb",Fongbe,,,Lefebvre and Brousseau 2002
for,SOV,"Order of Subject, Object and Verb",Fore,,,Scott 1978
fre,SVO,"Order of Subject, Object and Verb",French,,,
fri,No dominant order,"Order of Subject, Object and Verb",Frisian,,,Tiersma 1985
fua,SVO,"Order of Subject, Object and Verb",Fula (Cameroonian),,,Arnott 1970;Taylor 1953;Stennes 1967;Stennes 1961
fur,SOV,"Order of Subject, Object and Verb",Fur,,,Beaton 1968;Tucker and Bryan 1966
fut,SVO,"Order of Subject, Object and Verb",Futuna-Aniwa,,,Dougherty 1983;Capell 1958
fye,SVO,"Order of Subject, Object and Verb",Fyem,,,Nettle 1998
ga,SVO,"Order of Subject, Object and Verb",Gã,,,Ablorh-Odjidja 1968
gds,SOV,"Order of Subject, Object and Verb",Gadsup,,,Frantz 1973
gae,VSO,"Order of Subject, Object and Verb",Gaelic (Scots),,,Calder 1923
gah,SOV,"Order of Subject, Object and Verb",Gahuku,,,Deibler 1976
gal,SOV,"Order of Subject, Object and Verb",Galo,,,Das Gupta 1963
gam,SOV,"Order of Subject, Object and Verb",Gamo,,,Taylor 1994
gap,SOV,"Order of Subject, Object and Verb",Gapapaiwa,,,McGuckin 2002
grf,VSO,"Order of Subject, Object and Verb",Garífuna,,,Taylor 1958
gar,SOV,"Order of Subject, Object and Verb",Garo,,,Burling 2003
grr,No dominant order,"Order of Subject, Object and Verb",Garrwa,,,Furby and Furby 1977;Mushin 2005
gbk,SVO,"Order of Subject, Object and Verb",Gbaya Kara,,,Tucker and Bryan 1966
gbb,SVO,"Order of Subject, Object and Verb",Gbeya Bossangoa,,,Samarin 1966
gel,VOS,"Order of Subject, Object and Verb",Gela,,,Crowley 2002a
gla,SVO,"Order of Subject, Object and Verb",Gelao,,,Edmondson 2008
geo,SOV,"Order of Subject, Object and Verb",Georgian,,,Vogt 1971
ger,No dominant order,"Order of Subject, Object and Verb",German,,,Lederer 1969
gid,No dominant order,"Order of Subject, Object and Verb",Gidabal,,,Geytenbeek and Geytenbeek 1971
gim,SOV,"Order of Subject, Object and Verb",Gimira,,,Breeze 1990
git,No dominant order,"Order of Subject, Object and Verb",Gitksan,,,Rigsby 1986
goa,VSO,"Order of Subject, Object and Verb",Goajiro,,,Ehrman 1972a;Olza Zubiri and Jusayú 1978
goe,SVO,"Order of Subject, Object and Verb",Goemai,,,Hellwig 2003
gog,SOV,"Order of Subject, Object and Verb",Gogodala,,,Voorhoeve 1975
gok,SVO,"Order of Subject, Object and Verb",Gokana,,,
gln,SOV,"Order of Subject, Object and Verb",Golin,,,Bunn 1974
gon,SOV,"Order of Subject, Object and Verb",Gondi,,,Lincoln 1969;Subrahmanyam 1968
goo,No dominant order,"Order of Subject, Object and Verb",Gooniyandi,,,McGregor 1990
gan,SOV,"Order of Subject, Object and Verb",Great Andamanese,,,Radcliffe-Brown 1948
grb,SVO,"Order of Subject, Object and Verb",Grebo,,,Innes 1966
grk,No dominant order,"Order of Subject, Object and Verb",Greek (Modern),,,Mackridge 1985
grw,SOV,"Order of Subject, Object and Verb",Greenlandic (West),,,Fortescue 1984
gjj,VSO,"Order of Subject, Object and Verb",Guajajara,,,Bendor-Samuel 1972
gua,SVO,"Order of Subject, Object and Verb",Guaraní,,,Gregores and Suarez 1967
grj,No dominant order,"Order of Subject, Object and Verb",Guarijío,,,Miller 1996a
gto,VSO,"Order of Subject, Object and Verb",Guató,,,Rodrigues 1999b
gud,VSO,"Order of Subject, Object and Verb",Gude,,,Hoskison 1983
gug,SOV,"Order of Subject, Object and Verb",Gugada,,,Platt 1972;Peile 1971
guh,SOV,"Order of Subject, Object and Verb",Guhu-Samane,,,Richert 1975
guj,SOV,"Order of Subject, Object and Verb",Gujarati,,,Cardona 1965
gul,SVO,"Order of Subject, Object and Verb",Gula (in Central African Republic),,,Nougayrol 1999
gmw,SOV,"Order of Subject, Object and Verb",Gumawana,,,Olson 1988
gum,No dominant order,"Order of Subject, Object and Verb",Gumbaynggir,,,Eades 1979
gmz,SVO,"Order of Subject, Object and Verb",Gumuz,,,Uzar 1989;Bender 1979
gnb,SVO,"Order of Subject, Object and Verb",Gunbalang,,,Harris 1969b;Coleman 1982
guw,SVO,"Order of Subject, Object and Verb",Gungbe,,,Hazoume 1979
gnn,No dominant order,"Order of Subject, Object and Verb",Gunin,,,McGregor 1993
gku,No dominant order,"Order of Subject, Object and Verb",Gününa Küne,,,Adelaar 2004
ggu,No dominant order,"Order of Subject, Object and Verb",Gureng Gureng,,,Brasch 1975
grg,No dominant order,"Order of Subject, Object and Verb",Gurr-goni,,,Green 1995
gur,SOV,"Order of Subject, Object and Verb",Gurung,,,Glover 1974
guu,SOV,"Order of Subject, Object and Verb",Guugu Yimidhirr,,,Haviland 1979
gwa,No dominant order,"Order of Subject, Object and Verb",Gwari,,,Hyman and Magaji 1970
gwo,SVO,"Order of Subject, Object and Verb",Gworok,,,Adwiraah 1989
hai,SOV,"Order of Subject, Object and Verb",Haida,,,Swanton 1911b;Enrico 2003;Enrico 1986
hak,SVO,"Order of Subject, Object and Verb",Hakka,,,Hashimoto 1973
