ID,Name,Parameter,Language,Frequency,Confidence,References
grb,Subject pronouns in different position,Expression of Pronominal Subjects,Grebo,,,Innes 1966
grk,Subject affixes on verb,Expression of Pronominal Subjects,Greek (Modern),,,Joseph and Philippaki-Warburton 1987
grw,Subject affixes on verb,Expression of Pronominal Subjects,Greenlandic (West),,,Fortescue 1984;Schultz-Lorentzen 1945
gjj,Subject affixes on verb,Expression of Pronominal Subjects,Guajajara,,,Bendor-Samuel 1972
gua,Subject affixes on verb,Expression of Pronominal Subjects,Guaraní,,,Gregores and Suarez 1967
grj,Subject clitics on variable host,Expression of Pronominal Subjects,Guarijío,,,Miller 1996a
gud,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Gude,,,Hoskison 1983
gul,Subject affixes on verb,Expression of Pronominal Subjects,Gula (in Central African Republic),,,Nougayrol 1999
gmw,Subject affixes on verb,Expression of Pronominal Subjects,Gumawana,,,Olson 1988
gum,Optional pronouns in subject position,Expression of Pronominal Subjects,Gumbaynggir,,,Eades 1979
gmz,Subject affixes on verb,Expression of Pronominal Subjects,Gumuz,,,Uzar 1989;Bender 1979
grg,Subject affixes on verb,Expression of Pronominal Subjects,Gurr-goni,,,Green 1995
gur,Optional pronouns in subject position,Expression of Pronominal Subjects,Gurung,,,Glover 1974
guu,Optional pronouns in subject position,Expression of Pronominal Subjects,Guugu Yimidhirr,,,Haviland 1979
gwa,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Gwari,,,Hyman and Magaji 1970
gwo,Subject pronouns in different position,Expression of Pronominal Subjects,Gworok,,,Adwiraah 1989
gyc,Subject affixes on verb,Expression of Pronominal Subjects,Gyarong (Cogtse),,,Lin 1993
hai,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Haida,,,Enrico 2003;Harrison 1895
hlu,Subject affixes on verb,Expression of Pronominal Subjects,Halkomelem (Upriver),,,Galloway 1993
ham,Subject affixes on verb,Expression of Pronominal Subjects,Hamtai,,,Oates and Oates 1968
hat,Subject affixes on verb,Expression of Pronominal Subjects,Hatam,,,Reesink 1999
hau,Subject pronouns in different position,Expression of Pronominal Subjects,Hausa,,,Newman 2000;Migeod 1914
haw,Optional pronouns in subject position,Expression of Pronominal Subjects,Hawaiian,,,Elbert and Pukui 1979
hya,Subject affixes on verb,Expression of Pronominal Subjects,Haya,,,Byarushengo 1977
hay,Subject affixes on verb,Expression of Pronominal Subjects,Hayu,,,Michailovsky 1988
heb,Mixed,Expression of Pronominal Subjects,Hebrew (Modern),,,Glinert 1989
heh,Subject affixes on verb,Expression of Pronominal Subjects,Hehe,,,Velten 1899a
hei,Subject clitics on variable host,Expression of Pronominal Subjects,Heiltsuk,,,Rath 1981
hix,Subject affixes on verb,Expression of Pronominal Subjects,Hixkaryana,,,Derbyshire 1985;Derbyshire 1979
hma,Subject pronouns in different position,Expression of Pronominal Subjects,Hmar,,,Dutta Baruah and Bapui 1996
hmo,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Hmong Njua,,,Lyman 1979
hua,Subject affixes on verb,Expression of Pronominal Subjects,Hua,,,Haiman 1980
hmi,Subject affixes on verb,Expression of Pronominal Subjects,Huitoto (Minica),,,Minor et al. 1982
hnd,Subject affixes on verb,Expression of Pronominal Subjects,Hunde,,,Kahombo 1992
hun,Subject affixes on verb,Expression of Pronominal Subjects,Hungarian,,,Benkö and Imre 1972;Kenesei et al. 1998
iaa,Subject pronouns in different position,Expression of Pronominal Subjects,Iaai,,,Tryon 1968
iba,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Iban,,,Omar 1981
ice,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Icelandic,,,Thráinsson 1994
ifu,Subject affixes on verb,Expression of Pronominal Subjects,Ifugao (Batad),,,Newell 1993
igb,Subject pronouns in different position,Expression of Pronominal Subjects,Igbo,,,Emenanjo 1978
ige,Subject affixes on verb,Expression of Pronominal Subjects,Igede,,,Bergman 1981
